X,Y,tld,domain,lat,lon
-0.133562,51.52741,london,highspeedone,51.52741,-0.133562
-0.133562,51.52741,london,stpancrasstation,51.52741,-0.133562
-0.133562,51.52741,london,stratfordhighspeed,51.52741,-0.133562
-0.133562,51.52741,london,parkingatstratfordinternational,51.52741,-0.133562
-0.133562,51.52741,london,shepherd,51.52741,-0.133562
-0.133562,51.52741,london,highspeedline,51.52741,-0.133562
-0.133562,51.52741,london,highspeed1,51.52741,-0.133562
-0.133562,51.52741,london,stp,51.52741,-0.133562
-0.133562,51.52741,london,hs1,51.52741,-0.133562
-0.133562,51.52741,london,shepherdgroup,51.52741,-0.133562
-0.133562,51.52741,london,hs1limited,51.52741,-0.133562
-0.133562,51.52741,london,stratfordintl,51.52741,-0.133562
-0.133562,51.52741,london,stpancras,51.52741,-0.133562
-0.138939,51.527405,london,nightly,51.527405,-0.138939
-0.263223,51.527405,london,fittedwardrobes,51.527405,-0.263223
-0.263223,51.527405,london,soundstagestudios,51.527405,-0.263223
-0.102311461,51.527387,london,cityuniversityoflondon,51.527387,-0.102311461
-0.082398,51.527385,london,the-creative-motion-agency,51.527385,-0.082398
-0.082398,51.527385,london,swhype,51.527385,-0.082398
-0.042565,51.527383,london,propertyspace,51.527383,-0.042565
-0.042565,51.527383,london,advertise,51.527383,-0.042565
-0.042565,51.527383,london,recruiting,51.527383,-0.042565
-0.042565,51.527383,london,800,51.527383,-0.042565
-0.133600692,51.52737535,london,shepherdfm,51.52737535,-0.133600692
-0.091193,51.527375,london,eyesight,51.527375,-0.091193
-0.118959,51.527365,london,onoffmarketing,51.527365,-0.118959
-0.118959,51.527365,london,onoffprint,51.527365,-0.118959
-0.118959,51.527365,london,studentprinting,51.527365,-0.118959
-0.01715,51.527352,london,kimienakano,51.527352,-0.01715
-0.110325,51.527344,london,jasonroyce,51.527344,-0.110325
-0.1184894,51.5273423,london,northlondonheatandpowerconsultation,51.5273423,-0.1184894
-0.114016,51.527331,london,essentialapps,51.527331,-0.114016
-0.114016,51.527331,london,mcm,51.527331,-0.114016
-0.0816046,51.52733,london,consensus,51.52733,-0.0816046
