X,Y,X,Y,tld,domain,lat,lon,hex_id
-0.313864,51.686937,-0.3138640000,51.6869370000,london,ineedinsurancetoday,51.6869370000,-0.3138640000,2316
0.001117,51.686363,0.0011170000,51.6863630000,london,commerciallawyers,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,lawpractice,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,wealthmanager,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,commerciallawyer,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,businesstransformation,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,businesslawyers,51.6863630000,0.0011170000,5719
0.001117,51.686363,0.0011170000,51.6863630000,london,pensionautoenrolment,51.6863630000,0.0011170000,5719
0.004762,51.686328,0.0047620000,51.6863280000,london,magdrill,51.6863280000,0.0047620000,5802
0.004762,51.686328,0.0047620000,51.6863280000,london,bds,51.6863280000,0.0047620000,5802
0.004762,51.686328,0.0047620000,51.6863280000,london,bds-maschinen,51.6863280000,0.0047620000,5802
0.004762,51.686328,0.0047620000,51.6863280000,london,lachiechapman,51.6863280000,0.0047620000,5802
0.004762,51.686328,0.0047620000,51.6863280000,london,londonpropertyexpert,51.6863280000,0.0047620000,5802
0.004762,51.686328,0.0047620000,51.6863280000,london,thelondonpropertyexpert,51.6863280000,0.0047620000,5802
-0.316605,51.685195,-0.3166050000,51.6851950000,london,biancamora,51.6851950000,-0.3166050000,2233
-0.316605,51.685195,-0.3166050000,51.6851950000,london,emiliauk,51.6851950000,-0.3166050000,2233
-0.025162,51.685189,-0.0251620000,51.6851890000,london,stratospheretower,51.6851890000,-0.0251620000,5469
-0.025162,51.685189,-0.0251620000,51.6851890000,london,telford-homes,51.6851890000,-0.0251620000,5469
-0.025162,51.685189,-0.0251620000,51.6851890000,london,telfordhomes,51.6851890000,-0.0251620000,5469
-0.003234,51.685097,-0.0032340000,51.6850970000,london,safegas,51.6850970000,-0.0032340000,5719
0.00815,51.685083,0.0081500000,51.6850830000,london,carservice,51.6850830000,0.0081500000,5801
-0.317857,51.68498,-0.3178570000,51.6849800000,london,massageher,51.6849800000,-0.3178570000,2233
0.0063578,51.6849086,0.0063578000,51.6849086000,london,starlightceilings,51.6849086000,0.0063578000,5801
-0.105296,51.68409,-0.1052960000,51.6840900000,london,sashrestorations,51.6840900000,-0.1052960000,4557
-0.012801,51.684,-0.0128010000,51.6840000000,london,rubyshoo,51.6840000000,-0.0128010000,5635
-0.317019,51.683781,-0.3170190000,51.6837810000,london,hattongardenguides,51.6837810000,-0.3170190000,2233
-0.13529,51.683599,-0.1352900000,51.6835990000,london,puppydaycare,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,luxurydoghotel,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogpark,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogboarding,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,boardingkennel,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,halodogs,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,luxurypethotel,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogdaycare,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogagility,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,pettaxi,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,doggiedaycare,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,doghamper,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogsdaycare,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,dogwalker,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,puppycare,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,hotelfordogs,51.6835990000,-0.1352900000,4225
-0.13529,51.683599,-0.1352900000,51.6835990000,london,groomer,51.6835990000,-0.1352900000,4225
-0.330561,51.682931,-0.3305610000,51.6829310000,london,hearnscoaches,51.6829310000,-0.3305610000,2149
-0.021278,51.68203,-0.0212780000,51.6820300000,london,charterhouse-aquatics,51.6820300000,-0.0212780000,5469
-0.002887,51.6818,-0.0028870000,51.6818000000,london,trade-in,51.6818000000,-0.0028870000,5718
-0.002887,51.6818,-0.0028870000,51.6818000000,london,west1,51.6818000000,-0.0028870000,5718
-0.002887,51.6818,-0.0028870000,51.6818000000,london,cpwauction,51.6818000000,-0.0028870000,5718
-0.002887,51.6818,-0.0028870000,51.6818000000,london,westonetech,51.6818000000,-0.0028870000,5718
0.0116814,51.681796,0.0116814000,51.6817960000,london,foodii,51.6817960000,0.0116814000,5884
-0.037497,51.681619,-0.0374970000,51.6816190000,london,roofboxhire,51.6816190000,-0.0374970000,5303
-0.037497,51.681619,-0.0374970000,51.6816190000,london,geniehire,51.6816190000,-0.0374970000,5303
0.028274,51.681536,0.0282740000,51.6815360000,london,theconquerorsgroup,51.6815360000,0.0282740000,6050
0.028274,51.681536,0.0282740000,51.6815360000,london,bespoke-consultancy,51.6815360000,0.0282740000,6050
-0.3160538,51.6815083,-0.3160538000,51.6815083000,london,massage-her,51.6815083000,-0.3160538000,2315
-0.095644,51.681039,-0.0956440000,51.6810390000,london,maturetrees,51.6810390000,-0.0956440000,4722
-0.095644,51.681039,-0.0956440000,51.6810390000,london,treesandshrubs,51.6810390000,-0.0956440000,4722
-0.354976,51.680614,-0.3549760000,51.6806140000,london,infini,51.6806140000,-0.3549760000,1900
-0.1356554,51.68048,-0.1356554000,51.6804800000,london,bestdogdaycare,51.6804800000,-0.1356554000,4224
-0.1356554,51.68048,-0.1356554000,51.6804800000,london,dogtrainer,51.6804800000,-0.1356554000,4224
-0.1356554,51.68048,-0.1356554000,51.6804800000,london,doghotel,51.6804800000,-0.1356554000,4224
-0.1356554,51.68048,-0.1356554000,51.6804800000,london,boardingkennels,51.6804800000,-0.1356554000,4224
-0.1356554,51.68048,-0.1356554000,51.6804800000,london,dogholidays,51.6804800000,-0.1356554000,4224
-0.357351,51.680143,-0.3573510000,51.6801430000,london,phonics,51.6801430000,-0.3573510000,1817
-0.035615,51.679645,-0.0356150000,51.6796450000,london,mychoice,51.6796450000,-0.0356150000,5302
-0.0472919,51.6793042,-0.0472919000,51.6793042000,london,bearings,51.6793042000,-0.0472919000,5220
-0.0971355,51.6793021,-0.0971355000,51.6793021000,london,paramountplants,51.6793021000,-0.0971355000,4638
-0.186156,51.679162,-0.1861560000,51.6791620000,london,jsconsulting,51.6791620000,-0.1861560000,3726
-0.186156,51.679162,-0.1861560000,51.6791620000,london,thefootballconsultancy,51.6791620000,-0.1861560000,3726
-0.186156,51.679162,-0.1861560000,51.6791620000,london,icg,51.6791620000,-0.1861560000,3726
-0.383741,51.678324,-0.3837410000,51.6783240000,london,estim,51.6783240000,-0.3837410000,1568
-0.383741,51.678324,-0.3837410000,51.6783240000,london,goodmanassociates,51.6783240000,-0.3837410000,1568
-0.383741,51.678324,-0.3837410000,51.6783240000,london,e-stim,51.6783240000,-0.3837410000,1568
-0.383741,51.678324,-0.3837410000,51.6783240000,london,h2o-networks,51.6783240000,-0.3837410000,1568
-0.383741,51.678324,-0.3837410000,51.6783240000,london,h2onetworks,51.6783240000,-0.3837410000,1568
-0.2197428,51.6782494,-0.2197428000,51.6782494000,london,golfevents,51.6782494000,-0.2197428000,3310
-0.029729,51.677946,-0.0297290000,51.6779460000,london,pass2drive,51.6779460000,-0.0297290000,5385
-0.008829,51.677935,-0.0088290000,51.6779350000,london,locumslocal,51.6779350000,-0.0088290000,5634
-0.008829,51.677935,-0.0088290000,51.6779350000,london,hgcosmetics,51.6779350000,-0.0088290000,5634
-0.008829,51.677935,-0.0088290000,51.6779350000,london,locums-local,51.6779350000,-0.0088290000,5634
-0.000266,51.67761,-0.0002660000,51.6776100000,london,ethnomarket,51.6776100000,-0.0002660000,5717
-0.04003,51.677228,-0.0400300000,51.6772280000,london,onestopearly,51.6772280000,-0.0400300000,5302
-0.04003,51.677228,-0.0400300000,51.6772280000,london,1stopearly,51.6772280000,-0.0400300000,5302
-0.030913,51.676671,-0.0309130000,51.6766710000,london,furisto,51.6766710000,-0.0309130000,5385
-0.047519,51.676642,-0.0475190000,51.6766420000,london,plain,51.6766420000,-0.0475190000,5219
-0.387491,51.676586,-0.3874910000,51.6765860000,london,graceandoliver,51.6765860000,-0.3874910000,1484
-0.387491,51.676586,-0.3874910000,51.6765860000,london,shani,51.6765860000,-0.3874910000,1484
-0.039973,51.676544,-0.0399730000,51.6765440000,london,closedstations,51.6765440000,-0.0399730000,5302
-0.039973,51.676544,-0.0399730000,51.6765440000,london,anytimechildcare,51.6765440000,-0.0399730000,5302
-0.326172,51.676043,-0.3261720000,51.6760430000,london,focus,51.6760430000,-0.3261720000,2148
-0.040169,51.675684,-0.0401690000,51.6756840000,london,empower-fitness,51.6756840000,-0.0401690000,5302
-0.035505,51.675498,-0.0355050000,51.6754980000,london,webdeveloperlondon,51.6754980000,-0.0355050000,5385
-0.035505,51.675498,-0.0355050000,51.6754980000,london,webdesignerlondon,51.6754980000,-0.0355050000,5385
-0.391072,51.675125,-0.3910720000,51.6751250000,london,grandconcierge,51.6751250000,-0.3910720000,1484
-0.391072,51.675125,-0.3910720000,51.6751250000,london,couriercentre,51.6751250000,-0.3910720000,1484
-0.04003,51.674881,-0.0400300000,51.6748810000,london,nlondon,51.6748810000,-0.0400300000,5301
-0.04003,51.674881,-0.0400300000,51.6748810000,london,nlondonconstruction,51.6748810000,-0.0400300000,5301
-0.216512,51.67487,-0.2165120000,51.6748700000,london,golfacademy,51.6748700000,-0.2165120000,3393
-0.216512,51.67487,-0.2165120000,51.6748700000,london,golf,51.6748700000,-0.2165120000,3393
-0.216512,51.67487,-0.2165120000,51.6748700000,london,golflessons,51.6748700000,-0.2165120000,3393
-0.216512,51.67487,-0.2165120000,51.6748700000,london,golfwest,51.6748700000,-0.2165120000,3393
-0.022138,51.674563,-0.0221380000,51.6745630000,london,crystalroc,51.6745630000,-0.0221380000,5467
-0.022138,51.674563,-0.0221380000,51.6745630000,london,goldandco,51.6745630000,-0.0221380000,5467
-0.022138,51.674563,-0.0221380000,51.6745630000,london,goldrose,51.6745630000,-0.0221380000,5467
-0.022138,51.674563,-0.0221380000,51.6745630000,london,goldsolutions,51.6745630000,-0.0221380000,5467
-0.022138,51.674563,-0.0221380000,51.6745630000,london,goldphone,51.6745630000,-0.0221380000,5467
-0.022138,51.674563,-0.0221380000,51.6745630000,london,goldplating,51.6745630000,-0.0221380000,5467
